,Questions,Answers,Labels
656,What happens to those who serve God with unwavering devotion?,"And he who serves Me with unwavering devotion, he, crossing beyond the dualities, is fit for becoming Brahman.",1
657,What is the relation between God and Brahman?,"For I am the abode of Brahman, the immortal, immutable, and everlasting Dharma, and absolute bliss.",1
658,Who is God?,"For I am the abode of Brahman, the immortal, immutable, and everlasting Dharma, and absolute bliss.",1
659,What is God?,"For I am the abode of Brahman, the immortal, immutable, and everlasting Dharma, and absolute bliss.",1
660,What does the Gita say about the inverted peepul tree?,"The Blessed Lord said: They (the wise) speak of the indestructible peepul tree, with its roots above and branches below, whose leaves are the meters or hymns; he who knows it is a knower of the Vedas.",1
661,What does the Gita say about the inverted asvattha tree?,"The Blessed Lord said: They (the wise) speak of the indestructible peepul tree, with its roots above and branches below, whose leaves are the meters or hymns; he who knows it is a knower of the Vedas.",1
662,What does the Krishna say about the asvattha tree?,"Its branches spread below and above, nourished by the Gunas; its buds are sense-objects, and its roots stretch forth below in the world of men, originating action.",1
663,What is the reference about the asvattha tree in the Gita?,"Its form is not perceived here as such, nor its end, origin, foundation, or resting place; having cut asunder this firmly rooted peepul tree with the strong axe of non-attachment.",1
664,What is the reference about the peepal tree in the Gita?,"Its form is not perceived here as such, nor its end, origin, foundation, or resting place; having cut asunder this firmly rooted peepul tree with the strong axe of non-attachment.",1
665,What is the purpose or goal of life?,"Then, that goal should be sought for, to which, having gone, none returns again. I seek refuge in that Primeval Purusha, from whence streamed forth the ancient activity or energy.",1
666,Is it possible to become completely free of desires?,"Free from pride and delusion, victorious over the evil of attachment, dwelling constantly in the Self, their desires having completely turned away, freed from the pairs of opposites known as pleasure and pain, they, the undeluded, reach the eternal goal.",1
667,Is it possible to become completely free of dualities of life?,"Free from pride and delusion, victorious over the evil of attachment, dwelling constantly in the Self, their desires having completely turned away, freed from the pairs of opposites known as pleasure and pain, they, the undeluded, reach the eternal goal.",1
668,What happens to those who reach the supreme abode of God?,"Neither does the sun illuminate there, nor the moon, nor the fire; having gone there, they do not return; that is My supreme abode.",1
669,Why do human beings feel so attracted by sensual objects?,"An eternal portion of Myself having become a living soul in the world of life, draws to itself the five senses, with the mind as the sixth, abiding in Nature.",1
670,Does the soul or Self carry the mind with itself after death of the body?,"When the Lord, as the individual soul, obtains a body and when He leaves it, He takes these with Him, just as the wind takes the scents from their seats (flowers, etc.).",1
671,How does the soul or self experiences the various sense objects?,"Presiding over the ears, eyes, touch, taste, smell, and mind, it enjoys the objects of the senses.",1
672,Why can't all human beings perceive the soul or self?,"The deluded do not see Him who departs, stays, and enjoys; but those who possess the eye of knowledge behold Him.",1
673,Why can't we perceive the self or soul?,"The yogis striving for perfection behold Him dwelling in the Self; but, the unrefined and unintelligent, even though striving, do not see Him.",1
674,Where do the sun and moon draw their illumination from?,"That light which resides in the sun, illuminating the whole world; that which is in the moon and in the fire—know that light to be Mine.",1
675,What is source of nourishment?,"Permeating the earth, I support all beings with My energy; and having become the watery moon, I nourish all herbs.",1
676,Does the soul or self also play a role in various bodily functions?,"Having become the fire Vaisvanara, I abide in the bodies of living beings and, associated with the Prana and the Apana, digest the fourfold food.",1
677,What is the source of memory and knowledge in this universe?,"And I am seated in the hearts of all; from Me come memory and knowledge, as well as their absence. I am verily That which has to be known by all the Vedas; I am indeed the author of the Vedanta and the knower of the Vedas.",1
678,What is the difference between kshara and akshara purusha?,"Two Purushas there are in this world: the perishable and the imperishable. All beings are perishable, and the Kutastha—the unchanging—is called the imperishable.",1
679,Are there two kinds of purushas?,"Two Purushas there are in this world: the perishable and the imperishable. All beings are perishable, and the Kutastha—the unchanging—is called the imperishable.",1
680,How many kinds of Purushas are there?,"Two Purushas there are in this world: the perishable and the imperishable. All beings are perishable, and the Kutastha—the unchanging—is called the imperishable.",1
681,Who supports the whole universe?,"But distinct is the Supreme Purusha, called the highest Self, indestructible and Lord, who pervades the three worlds and sustains them.",1
682,Who is the supreme Purusha?,"But distinct is the Supreme Purusha, called the highest Self, indestructible and Lord, who pervades the three worlds and sustains them.",1
683,Why is God called purushottama or the supreme person?,"As I transcend the perishable and am even higher than the imperishable, I am declared to be the highest Purusha in the world and in the Vedas.",1
684,What should be our attitude towards God?,"He who, undeluded, knows Me as the highest Purusha, he, knowing all, worships Me with his whole being (heart), O Arjuna.",1
685,What is the benefit of learning Gita?,"Thus, I have imparted to you this most secret science, O sinless one; by knowing this, one becomes wise, and all their duties are accomplished, O Arjuna.",1
686,Why should we learn the Gita?,"Thus, I have imparted to you this most secret science, O sinless one; by knowing this, one becomes wise, and all their duties are accomplished, O Arjuna.",1
687,What are the qualities of people with a divine nature? ,"The Blessed Lord said: Fearlessness, purity of heart, steadfastness in knowledge and yoga, almsgiving, control of the senses, sacrifice, study of scriptures, austerity, and straightforwardness.",1
688,What are the qualities of spiritual people? ,"Harmlessness, truth, absence of anger, renunciation, peacefulness, absence of crookedness, compassion for beings, non-covetousness, gentleness, modesty, and absence of fickleness.",1
689,What are the qualities of people with a spiritual nature?,"Vigor, forgiveness, fortitude, purity, absence of hatred, absence of pride—these belong to one born for a divine state, O Arjuna.",1
690,What are the qualities of a person of demonic nature?,"Hypocrisy, arrogance, and self-conceit, anger, harshness, and ignorance—these belong to one who is born for a demoniacal state, O Partha.",1
691,What are the qualities of a person of evil nature?,"Hypocrisy, arrogance, and self-conceit, anger, harshness, and ignorance—these belong to one who is born for a demoniacal state, O Partha.",1
692,What does divine or spiritual nature in a person lead to?,"The divine nature is deemed conducive to liberation, and the demonic to bondage. Grieve not, O Arjuna, for you are born with divine endowments.",1
693,What does demonic nature in a person lead to?,"The divine nature is deemed conducive to liberation, and the demonic to bondage. Grieve not, O Arjuna, for you are born with divine endowments.",1
694,Where in the Gita does Krishna describe people with demonic nature?,"There are two types of beings in this world: the divine and the demoniacal. The divine has been described at length; hear from Me, O Arjuna, about the demoniacal.",1
695,What are the traits of people with demonic nature?,"The demoniacal do not know what to do and what to refrain from; they have neither purity, nor right conduct, nor truth.",1
696,What are the beliefs of people with demonic nature?,"They say, ""This universe is without truth, without a moral basis, without a God, brought about by mutual union, with lust as its cause; what else?""",1
697,Why are some people so cruel and destructive?,"Holding this view, these ruined souls of small intellect and fierce deeds come forth as enemies of the world, intent on its destruction.",1
698,Why are some people so evil?,"Holding this view, these ruined souls of small intellect and fierce deeds come forth as enemies of the world, intent on its destruction.",1
699,What is the result of insatiable desires?,"Filled with insatiable desires, full of hypocrisy, pride, and arrogance, holding evil ideas due to delusion, they work with impure intentions.",1
700,What motivates people with a demonic nature to act?,"Giving themselves over to immeasurable cares that end only with death, regarding the gratification of lust as their highest aim, and feeling sure that that is all.",1
701,Why are some people so unethical and immoral?,"Bound by a hundred ties of hope, given over to lust and anger, they strive to obtain hoards of wealth by unlawful means for sensual enjoyment.",1
702,What is the attitude of a person with demonic nature?,"""I have gained this today; I will fulfill this desire of mine; this is mine, and this wealth will be mine in the future.""",1
703,What is the attitude of a person with evil nature?,"""I have slain that enemy, and I shall slay others too. I am the Lord; I enjoy, I am perfect, powerful, and happy.""",1
704,What is the attitude of arrogant people?,"""I am wealthy and born into a noble family. Who is my equal? I shall perform sacrifices, give charity, and rejoice,"" thus deluded by ignorance.",1
705,Eventually what happens to people with a demonic nature?,"Bewildered by many fancies, entangled in the snare of delusion, addicted to the gratification of lust, they fall into a foul hell.",1
706,Eventually what happens to people with a evil nature?,"Bewildered by many fancies, entangled in the snare of delusion, addicted to the gratification of lust, they fall into a foul hell.",1
707,What is the result of sacrifices and rituals performed by people of demonic nature?,"Self-conceited, stubborn, filled with pride and intoxication of wealth, they perform sacrifices in name only for ostentation, contrary to scriptural ordinances.",1
708,What is the result of sacrifices and rituals performed by people of evil nature?,"Self-conceited, stubborn, filled with pride and intoxication of wealth, they perform sacrifices in name only for ostentation, contrary to scriptural ordinances.",1
709,How do egoistic people view God?,"Given over to egoism, power, haughtiness, lust, and anger, these malicious people hate Me in their own bodies and in the bodies of others.",1
710,How do evil people view God?,"Given over to egoism, power, haughtiness, lust, and anger, these malicious people hate Me in their own bodies and in the bodies of others.",1
711,How do demonic people view God?,"Given over to egoism, power, haughtiness, lust, and anger, these malicious people hate Me in their own bodies and in the bodies of others.",1
712,Eventually what happens to people with a hateful nature?,"Those cruel haters, the worst among men in the world, I hurl those evil-doers into the wombs of demons only.",1
713,Eventually what happens to people with a cruel nature?,"Those cruel haters, the worst among men in the world, I hurl those evil-doers into the wombs of demons only.",1
714,Is there any possibility of salvation for people with a demonic nature?,"Entering into demoniacal wombs and deluded, birth after birth, they do not attain Me, thus falling, O Arjuna, into a condition still lower than that.",1
715,Is there any possibility of salvation for people with an evil nature?,"Entering into demoniacal wombs and deluded, birth after birth, they do not attain Me, thus falling, O Arjuna, into a condition still lower than that.",1
716,?,"Entering into demoniacal wombs and deluded, birth after birth, they do not attain Me, thus falling, O Arjuna, into a condition still lower than that.",1
717,What are the gateways to hell?,"There are three gates to this hell, destructive of the self: lust, anger, and greed; therefore, one should abandon these three.",1
718,Is there a concept of hell and heaven in hinduism?,"There are three gates to this hell, destructive of the self: lust, anger, and greed; therefore, one should abandon these three.",1
719,Which people go to hell?,"There are three gates to this hell, destructive of the self: lust, anger, and greed; therefore, one should abandon these three.",1
720,What kind of people work for their inner development?,"A person who is liberated from these three gates of darkness, O Arjuna, practices what is beneficial for them and thus goes to the Supreme Goal.",1
721,What kind of people become spiritual?,"A person who is liberated from these three gates of darkness, O Arjuna, practices what is beneficial for them and thus goes to the Supreme Goal.",1
722,Can everyone become spiritual?,"A person who is liberated from these three gates of darkness, O Arjuna, practices what is beneficial for them and thus goes to the Supreme Goal.",1
723,What happens to those who do not follow the scriptures? ,"He who, having cast aside the ordinances of the scriptures, acts under the impulse of desire, does not attain perfection, nor happiness, nor the Supreme Goal.",1
724,Is it necessary to follow the scriptures?,"Therefore, let the scripture be thy authority in determining what ought to be done and what ought not to be done. Having known what is said in the ordinance of the scriptures, thou shouldst act in this world.",1
725,Are scriptures relevant for modern times?,"Therefore, let the scripture be thy authority in determining what ought to be done and what ought not to be done. Having known what is said in the ordinance of the scriptures, thou shouldst act in this world.",1
726,What did Arjuna want to know about people who do not follow the scriptures?,"Arjuna said, ""What is the condition of those who, disregarding the injunctions of the scriptures, perform sacrifice with faith—is it Sattva, Rajas, or Tamas, O Krishna?""",1
727,What are the three types of faith that people have?,"The Blessed Lord said, ""There are threefold faiths inherent in the nature of the embodied: the sattvic (pure), the rajasic (passionate), and the tamasic (dark). Hear of them.""",1
728,Does each person have faith in something?,"The faith of each is in accordance with their nature, O Arjuna. People consist of their faith; as a person's faith is, so are they.",1
729,Why do different people have faith in different things?,"The faith of each is in accordance with their nature, O Arjuna. People consist of their faith; as a person's faith is, so are they.",1
730,What leads to the differences in faith we see among human beings?,"The faith of each is in accordance with their nature, O Arjuna. People consist of their faith; as a person's faith is, so are they.",1
731,What do the sattvic people worship?,"The sattvic, or pure, men worship the gods; the rajasic, or passionate, worship the yakshas and rakshasas; the others, the tamasic or deluded people, worship ghosts and hosts of nature-spirits.",1
732,What do the rajasic people worship?,"The sattvic, or pure, men worship the gods; the rajasic, or passionate, worship the yakshas and rakshasas; the others, the tamasic or deluded people, worship ghosts and hosts of nature-spirits.",1
733,What do the tamasic people worship?,"The sattvic, or pure, men worship the gods; the rajasic, or passionate, worship the yakshas and rakshasas; the others, the tamasic or deluded people, worship ghosts and hosts of nature-spirits.",1
734,What kind of austerities are performed by people of demonic nature?,"Those men who practice terrific austerities not prescribed by the scriptures, given to hypocrisy and egoism, driven by the force of lust and attachment.",1
735,What kind of austerities are performed by people of evil nature?,"Those men who practice terrific austerities not prescribed by the scriptures, given to hypocrisy and egoism, driven by the force of lust and attachment.",1
736,Is it advisable to perform extreme austerities?,"Know thou these to be of demonical resolves, senselessly torturing all the elements in the body and Me who dwell in the body.",1
737,Is it good to perform extreme austerities?,"Know thou these to be of demonical resolves, senselessly torturing all the elements in the body and Me who dwell in the body.",1
738,Is it beneficial to perform extreme austerities?,"Know thou these to be of demonical resolves, senselessly torturing all the elements in the body and Me who dwell in the body.",1
739,How many kinds of foods are there?,"The food that is dear to each is threefold, as well as sacrifice, austerity, and almsgiving. Hear the distinction of these.",1
740,Which foods are considered to be sattvic?,"The foods that increase life, purity, strength, health, joy, and cheerfulness (good appetite), which are savory, oily, substantial, and agreeable, are dear to the Sattvic (pure) people.",1
741,Which foods are considered to be pure?,"The foods that increase life, purity, strength, health, joy, and cheerfulness (good appetite), which are savory, oily, substantial, and agreeable, are dear to the Sattvic (pure) people.",1
742,"Are sweets sattvic, rajasic or tamasic?","The foods that increase life, purity, strength, health, joy, and cheerfulness (good appetite), which are savory, oily, substantial, and agreeable, are dear to the Sattvic (pure) people.",1
743,Which foods are considered to be rajasic?,"The foods that are bitter, sour, salty, overly hot, pungent, dry, and burning are liked by the Rajasic and are productive of pain, grief, and disease.",1
744,Which foods are considered to generate energy?,"The foods that are bitter, sour, salty, overly hot, pungent, dry, and burning are liked by the Rajasic and are productive of pain, grief, and disease.",1
745,"Are sour foods sattvic, rajasic or tamasic?","The foods that are bitter, sour, salty, overly hot, pungent, dry, and burning are liked by the Rajasic and are productive of pain, grief, and disease.",1
746,Which foods are considered to be tamasic?,"That which is stale, tasteless, putrid, rotten, rejected, and impure is the food liked by the Tamasic.",1
747,Which foods are considered to generate lethargy?,"That which is stale, tasteless, putrid, rotten, rejected, and impure is the food liked by the Tamasic.",1
748,"Are stale foods sattvic, rajasic or tamasic?","That which is stale, tasteless, putrid, rotten, rejected, and impure is the food liked by the Tamasic.",1
749,What kind of sacrifice is considered sattvic?,"That sacrifice which is offered by men without desire for reward, as enjoined by the ordinance (scripture), with a firm faith that doing so is their duty, is Sattvic or pure.",1
750,What kind of sacrifice is considered pure?,"That sacrifice which is offered by men without desire for reward, as enjoined by the ordinance (scripture), with a firm faith that doing so is their duty, is Sattvic or pure.",1
751,What kind of sacrifice is considered rajasic?,"The sacrifice that is offered, O Arjuna, seeking a reward and for show, know that to be a Rajasic Yajna.",1
752,What kind of sacrifice is considered tamasic?,"They declare that sacrifice to be Tamasic which is contrary to the ordinances of the scriptures, in which no food is distributed, and which is devoid of mantras, gifts, and faith.",1
753,What is considered to be austerity of the body?,"Worship of the gods, the twice-born, the teachers, and the wise; purity, straightforwardness, celibacy, and non-injury are all called the austerities of the body.",1
754,What is considered to be bodily austerity?,"Worship of the gods, the twice-born, the teachers, and the wise; purity, straightforwardness, celibacy, and non-injury are all called the austerities of the body.",1
755,What is considered to be austerity of speech?,"Speech that causes no excitement, is truthful, pleasant, and beneficial; the practice of studying the Vedas is called austerity of speech.",1
756,Is recitation of scriptures a good idea?,"Speech that causes no excitement, is truthful, pleasant, and beneficial; the practice of studying the Vedas is called austerity of speech.",1
757,What is considered to be austerity of the mind? ,"Serenity of mind, good-heartedness, self-control, and purity of nature—this is called mental austerity.",1
758,How does the Gita start?,"Dhritarashtra said, ""What did my people and the sons of Pandu do when they had assembled together, eager for battle, on the holy plain of Kurukshetra, O Sanjaya?""",0
759,"What did Duryodhana say to his teacher, Drona?","Behold, O Teacher! This mighty army of the sons of Pandu, arrayed by the son of Drupada, thy wise disciple.",0
760,Which warriors from the Pandava army did Duryodhana first talk about?,"Here are heroes, mighty archers, equal in battle to Bhima and Arjuna, Yuyudhana (Satyaki), Virata, and Drupada—all mighty warriors.",0
761,Who was the king from Kashi who fought in the Mahabharata war?,"Dhrishtaketu, Chekitana, the valiant king of Kasi, Purujit, Kuntibhoja, and Saibya—the best of men.",0
762,Which other warriors from the Pandava army did Duryodhana talk about?,"The strong Yudhamanyu and the brave Uttamaujas, the son of Subhadra (Abhimanyu, the son of Subhadra and Arjuna), and the sons of Draupadi, all of them great charioteers (great heroes).""",0
763,Why was Duryodhana taking names of all the warriors in the Mahabharata war?,"Know also, O best among the twice-born! the names of those who are the most distinguished amongst ourselves, the leaders of my army; these I name to you for your information.",0
764,Who were the warriors on the Kaurava side that Duryodhana mentioned about?,"""Thou thyself, Bhishma, Karna, Kripa, the victorious in war, Asvatthama, Vikarna, and Bhurisrava, the son of Somadatta—all these are ready for battle.""",0
765,What did Duryodhana say about the warriors on his side in the Mahabharata war?,"And also many other heroes, ready to give up their lives for my sake, armed with various weapons and missiles, all well-skilled in battle.",0
766,What did Duryodhana say while comparing his army with the Pandava army?,"Our army, marshalled by Bhishma, is insufficient, whereas theirs, marshalled by Bhima, is sufficient.",0
767,What did Duryodhana ask Drona to primarily do during the war?,"Therefore, do all of you, stationed in your respective positions in the several divisions of the army, protect Bhishma alone.",0
768,What did Bhishma do to cheer up Duryodhana during the Mahabharata war?,"His glorious grandsire, the oldest of the Kauravas, roared like a lion to cheer Duryodhana and blew his conch.",0
769,What happened after Bhishma blew his conch?,"Then, suddenly, conches, kettledrums, tabors, drums, and cow horns blared forth from the Kaurava side, and the sound was tremendous.",0
770,Who was the first person from the Pandava side to blow the conch?,"Then, Madhava (Krishna) and the son of Pandu (Arjuna), seated in the magnificent chariot yoked with white horses, blew divine conches.",0
771,"What were the names of the conches of Krishna, Arjuna and Bhima?","Hrishikesha blew the Panchajanya, Arjuna blew the Devadatta, and Bhima, the wolf-bellied doer of terrible deeds, blew the great conch Paundra.",0
772,Who else fought from the Pandava side?,"The king of Kasi, an excellent archer, Sikhandi, the mighty car-warrior, Dhrishtadyumna, Virata, and Satyaki, the unconquered.",0
773,What was the reaction of Kauravas after the Pandava side blew their conches?,"The tumultuous sound rent the hearts of Dhritarashtra's party, reverberating through both heaven and earth.",0
774,What was depicted on Arjuna's chariot flag?,"Then, seeing the people of Dhritarashtra's party standing arrayed and the discharge of weapons about to begin, Arjuna, the son of Pandu whose ensign was a monkey, took up his bow and said the following to Krishna, O Lord of the Earth.",0
775,Why did Arjuna want Krishna to draw his chariot between the two armies?,"Arjuna said, ""O Krishna, place my chariot in the middle between the two armies, so that I may behold those who stand here, desirous to fight, and know with whom I must fight when the battle is about to commence.""",0
776,What did Arjuna want to observe at the beginning of the war?,"For I desire to observe those who are assembled here to fight, wishing to please in battle the evil-minded Duryodhana—the son of Dhritarashtra.",0
777,Where did Krishna place the chariot?,"Sanjaya said, Thus addressed by Arjuna, Krishna stationed the best of chariots, O Dhritarashtra, in the midst of the two armies.",0
778,In front of whom did Krishna place the chariot?,"In front of Bhishma and Drona, and all the rulers of the earth, he said: ""O Arjuna, son of Pritha, behold these Kurus gathered together.""",0
779,Whom did Arjuna see when Krishna placed his chariot in the middle of the two armies?,"He saw fathers-in-law and friends in both the armies. The son of Kunti, Arjuna, seeing all those kinsmen thus standing arrayed, spoke sorrowfully, deeply filled with pity.",0
780,Seeing whom did Arjuna become emotional during the war?,"Arjuna said, ""O Krishna, seeing my kinsmen arrayed here, eager to fight,",0
781,What happened to Arjuna's limbs when he saw so many relatives in the enemy's army?,"My limbs fail, my mouth is parched, my body quivers, and my hair stands on end.",0
782,What happened to Arjuna's bow when he saw so many relatives in the enemy's army?,"The Gandiva slips from my hand, and my skin burns all over; I am unable to stand, and my mind is reeling, as it were.",0
783,What was Arjuna's reaction when he saw so many relatives in the enemy's army?,"And I see ill omens, O Kesava. I do not see any good in slaying my kinsmen in battle.",0
784,Where in the Gita does Arjuna say that he has no desire for empire or victory?,"I desire not victory, O Krishna, nor kingdom, nor pleasures.
What use is dominion to us, O Krishna, or pleasures or even life?",0
785,Why did Arjuna say that he has no desire for victory or the empire?,"Those for whose sake we desire kingdom, enjoyments, and pleasures stand here in battle, having renounced life and wealth.",0
786,What did Arjuna say about the way teachers and relatives are to be treated?,"Teachers, fathers, sons, and grandfathers, maternal uncles, fathers-in-law, grandsons, brothers-in-law, and other relatives—",0
787,Where in the Gita does Arjuna say that he will not kill his relatives even if they kill him?,"These I do not wish to kill, O Krishna, even though they kill me, for the sake of dominion over the three worlds; leave alone killing them for the sake of the earth.""",0
788,What did Arjuna say will happen if he killed his own relatives?,"By killing these sons of Dhritarashtra, what pleasure could be ours, O Janardana? Only sin would accrue to us from killing these felons.",0
789,What according to Arjuna is the effect of killing our own kin?,"Therefore, we should not kill the sons of Dhritarashtra, our relatives; for how can we be happy by killing our own kin, O Madhava (Krishna)?",0
790,What did Arjuna say about the nature of Kauravas?,"Though they, with intelligence overpowered by greed, see no evil in the destruction of families and no sin in hostility to friends,",0
791,Why did Arjuna want to turn away from the battle?,"Why should we not, who clearly see the evil in the destruction of families, learn to turn away from this sin, O Janardana (Krishna)?",0
792,What did Arjuna say would happen to his family if he kills his own clan?,"In the destruction of a family, the immemorial religious rites of that family perish; on the destruction of spirituality, impiety indeed, overwhelms the whole family.",0
793,What did Arjuna say would happen to the women if he kills his own clan?,"O Krishna, by the prevalence of impiety, the women of the family become corrupt; and, when women are corrupted, O Varshenya (descendant of Vrishni), intermingling of castes arises.",0
794,What leads to hell according to Arjuna?,"Confusion of castes leads to hell for the slayers of the family, for their forebears fall, deprived of the offerings of rice-balls and libations of water.",0
795,What did Arjuna say would happen if there is inter mixing in the clans?,"By these evil deeds of the destroyers of the family, which cause confusion of castes, the eternal religious rites of the caste and the family are destroyed.",0
796,What did Arjuna say would happen to those whose clans are destroyed?,"We have heard, O Janardana, that those men in whose families the religious practices have been destroyed are inevitably destined to dwell in hell for an unknown period.",0
797,Why did Arjuna say that he was about to commit a sin?,"Alas! We are involved in a great sin, for we are prepared to kill our kinsmen, out of greed for the pleasures of a kingdom.",0
798,Why did Arjuna want to be killed by the enemy Kauravas?,"If the sons of Dhritarashtra, with weapons in hand, should slay me in battle, unresisting and unarmed, that would be better for me.",0
799,What did Arjuna do after arguing that he will prefer being killed instead of killing his own relatives?,"Sanjaya said, Having thus spoken in the midst of the battlefield, Arjuna cast away his bow and arrow and, his mind overwhelmed with sorrow, sat down on the seat of the chariot.",0
800,What did Sanjaya say about the state of Arjuna?,"Sanjaya said: To him, who was thus overcome with pity, despondent, with eyes full of tears and agitated, Madhusudana (the destroyer of Madhu) or Krishna spoke these words.",0
801,What were Krishna's first words on seeing the weak state of Arjuna after he refused to fight the war?,"The Blessed Lord said, ""From whence has this perilous strait come upon you, this dejection which is unworthy of you, disgraceful, and which will close the gates of heaven upon you, O Arjuna?""",0
802,What did Krishna say to encourage Arjuna to fight the war?,"Do not yield to impotence, O Arjuna, son of Pritha. It does not befit you. Cast off this mean weakness of the heart! Stand up, O conqueror of foes!",0
803,How can I become strong?,"Do not yield to impotence, O Arjuna, son of Pritha. It does not befit you. Cast off this mean weakness of the heart! Stand up, O conqueror of foes!",0
804,Why was Arjuna reluctant to shoot arrows at his teachers?,"Better it is, indeed, in this world to accept alms than to slay the most noble teachers. But if I were to kill them, even in this world, all my enjoyments of wealth and fulfilled desires would be stained with their blood.",0
805,Why was Arjuna reluctant to shoot arrows at Kauravas (sons of Dhrtarastra)?,"I can hardly tell which would be better, that we should conquer them or that they should conquer us. Even the sons of Dhritarashtra, whom we do not wish to slay, stand facing us.",0
806,When did Arjuna first admis that he is confused?,"My heart is overpowered by the taint of pity; my mind is confused as to my duty. I ask Thee: Tell me decisively what is good for me. I am Thy disciple; instruct me, who has taken refuge in Thee.",0
807,Why was Arjuna so grief stricken?,"I do not see that this sorrow that burns up my senses would be removed, even if I were to attain prosperous and unrivaled dominion on earth or lordship over the gods.",0
808,Where in the Gita did Arjuna say that he will not fight?,"Sanjaya said: Having spoken thus to Hrishikesha, the Lord of the senses, Arjuna, the conqueror of sleep and destroyer of foes, said, ""I will not fight,"" and became silent.",0
809,What was Krishna's first reaction on seeing the grief stricken state of Arjuna?,"To him who was despondent in the midst of the two armies, Krishna, smiling, O Bharata, spoke these words.",0
810,Do human beings cease to exist when they die?,"Nor, at any time, was I not, nor thou, nor these rulers of men; nor, verily, shall we ever cease to be hereafter.",0
811,Does the soul transmigrate after death of the body?,"Just as the embodied soul passes through childhood, youth, and old age in this body, so too does it pass into another body; the steadfast one does not grieve over this.",0
812,What is transmigration of the soul?,"Just as the embodied soul passes through childhood, youth, and old age in this body, so too does it pass into another body; the steadfast one does not grieve over this.",0
813,How do various feelings of pleasure and pain arise?,"The contact of the senses with the objects, O son of Kunti, which causes heat and cold, pleasure and pain, has a beginning and an end; they are impermanent; endure them bravely, O Arjuna.",0
814,What is the sign of a steadfast human?,"That firm man, whom surely these afflictions do not, O chief among men, to whom pleasure and pain are the same, is fit for attaining immortality.",0
815,Where does Krishna talk about impermanence of pleasure and pain?,"That firm man, whom surely these afflictions do not, O chief among men, to whom pleasure and pain are the same, is fit for attaining immortality.",0
816,Does the Jiva also die when the body dies?,"These bodies of the embodied Self, which are eternal, indestructible, and immeasurable, are said to have an end. Therefore, fight, O Arjuna.",0
817,What is the sign of ignorance in a human?,"He who takes the Self to be the slayer and he who thinks it is slain, neither of them knows. It does not slay, nor is it slain.",0
818,What are the properties of the soul or atman?,"It is not born, nor does it ever die; after having been, it again does not cease to be; unborn, eternal, changeless, and ancient, it is not killed when the body is killed.",0
819,Can a Jiva be killed by anyone?,"Whoever knows it to be indestructible, eternal, unborn, and inexhaustible, how can that person slay, O Arjuna, or cause to be slain?",0
820,Can the soul be killed by anyone?,"Whoever knows it to be indestructible, eternal, unborn, and inexhaustible, how can that person slay, O Arjuna, or cause to be slain?",0
821,What happens to the soul after the body dies?,"Just as a man casts off worn-out clothes and puts on new ones, so too the embodied Self casts off worn-out bodies and enters others that are new.",0
822,What happens to the soul after death?,"Just as a man casts off worn-out clothes and puts on new ones, so too the embodied Self casts off worn-out bodies and enters others that are new.",0
823,What happens to the self after the body dies?,"Just as a man casts off worn-out clothes and puts on new ones, so too the embodied Self casts off worn-out bodies and enters others that are new.",0
824,What happens to the self after death?,"Just as a man casts off worn-out clothes and puts on new ones, so too the embodied Self casts off worn-out bodies and enters others that are new.",0
825,Can the soul or self or atman be burnt or destroyed?,"Weapons cannot cut it, fire cannot burn it, water cannot wet it, wind cannot dry it.",0
826,Can the soul be dried up?,"This Self cannot be cut, burned, wetted, nor dried up; it is eternal, all-pervasive, stable, immovable, and ancient.",0
827,What are the characteristics of the Self?,"This Self is said to be unmanifested, unthinkable, and unchangeable. Therefore, knowing this to be so, you should not grieve.",0
828,What is the soul?,"This Self is said to be unmanifested, unthinkable, and unchangeable. Therefore, knowing this to be so, you should not grieve.",0
829,What is the Self?,"This Self is said to be unmanifested, unthinkable, and unchangeable. Therefore, knowing this to be so, you should not grieve.",0
830,What are the characteristics of the soul?,"This Self is said to be unmanifested, unthinkable, and unchangeable. Therefore, knowing this to be so, you should not grieve.",0
831,Who am I?,"This Self is said to be unmanifested, unthinkable, and unchangeable. Therefore, knowing this to be so, you should not grieve.",0
832,What is atma?,"This Self is said to be unmanifested, unthinkable, and unchangeable. Therefore, knowing this to be so, you should not grieve.",0
833,What is the atma?,"This Self is said to be unmanifested, unthinkable, and unchangeable. Therefore, knowing this to be so, you should not grieve.",0
834,Is grieving suitable for even those who do not believe in an eternal soul or self or atman?,"But even if thou thinkest of It as constantly being born and constantly dying, even then, O mighty-armed one, thou shouldst not grieve.",0
835,Why is grieving unsuitable even for those who do not believe in an eternal soul or self?,"For the born, death is certain, and for the dead, birth is certain; therefore, you should not grieve over the inevitable.",0
836,Can you explain the cycle of birth and death?,"For the born, death is certain, and for the dead, birth is certain; therefore, you should not grieve over the inevitable.",0
837,Do beings have a definite beginning and end?,"Beings are unmanifest in their beginning, manifest in their middle state, O Arjuna, and unmanifest again in their end. What is there to grieve about?",0
838,What is so wonderful about the soul or the self?,"One sees this (the Self) as a wonder; another speaks of it as a wonder; another hears of it as a wonder; yet, having heard, none understands it at all.",0
839,Are all the selves eternal and indestructible?,"This indweller in the body of everyone is ever indestructible, O Arjuna; therefore, you should not grieve for any creature.",0
